Company/Brand,Year1,Revenue1,Year2,Revenue2,Year3,Revenue3,Year4,Revenue4,Year5,Revenue5,HQ,Sector,Founders,Investor,Amount($),Stage,What it does,,,,,,,,,,,,,,,
TheCollegeFever,2018,1750000,2019,1250000,2020,500000,2021,1500000,2022,2250000,Mumbai,Marketplace,Shantanu Deshpande,Sixth Sense Ventures,250000,Seed,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,,,,,,,,,,,,,1,7
Happy Cow Dairy,2018,280000000,2019,200000000,2020,80000000,2021,240000000,2022,360000000,New Delhi,AgriTech,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,40000000,Seed,A startup which aggregates milk from dairy farmers in rural Maharashtra.,,,,,,,,,,,,,,,
MyLoanCare,2018,455000000,2019,325000000,2020,130000000,2021,390000000,2022,585000000,Bangalore,Marketplace,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",65000000,Series A,Leading Online Loans Marketplace in India,,,,,,,,,,,,,,2,5
PayMe India,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,Gurugram,Fintech,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",2000000,Angel,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,,,,,,,,,,,,,,
Hasura,2018,11200000,2019,8000000,2020,3200000,2021,9600000,2022,14400000,Pune,SaaS,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),1600000,Seed,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",,,,,,,,,,,,,,2,2
Tripshelf,2018,112000000,2019,80000000,2020,32000000,2021,96000000,2022,144000000,Bangalore,Marketplace,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",16000000,Seed,Tripshelf is an online market place for holiday packages.,,,,,,,,,,,,,,,
Hyperdata.IO,2018,350000000,2019,250000000,2020,100000000,2021,300000000,2022,450000000,Thane,Marketplace,Renuka Ramnath,Multiples Alternate Asset Management,50000000,Angel,Hyperdata combines advanced machine learning with human intelligence.,,,,,,,,,,,,,,4,6
Pitstop,2018,700000000,2019,500000000,2020,200000000,2021,600000000,2022,900000000,Gurgaon,Electric Vehicle,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,100000000,Seed,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,,,,,,,,,,,,,,
Mihuru,2018,1050000,2019,750000,2020,300000,2021,900000,2022,1350000,Mumbai,Financial Services,D Padmanabhan,Avataar Ventures,150000,Seed,Mihuru is an online platform which gives micro loans for air travel .,,,,,,,,,,,,,,5,9
Fyle,2018,7700000,2019,5500000,2020,2200000,2021,6600000,2022,9900000,Bangalore,SaaS,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,1100000,Seed,Fyle is an intelligent expense management platform for enterprises.,,,,,,,,,,,,,,,
Antariksh Waste Ventures Pvt ltd,2018,3500000,2019,2500000,2020,1000000,2021,3000000,2022,4500000,Mumbai,Information Technology,Ishit Jethwa,Titan Capital,500000,Seed,Waste Management for Smart Cities,,,,,,,,,,,,,,,
PaisaDukan,2018,4550000,2019,3250000,2020,1300000,2021,3900000,2022,5850000,Bangalore,Financial Services,Rakesh Malhotra,German development finance institution DEG,650000,Seed,A P2P lending marketplace platform,,,,,,,,,,,,,,,
Sleepy Owl Coffee,2018,245000000,2019,175000000,2020,70000000,2021,210000000,2022,315000000,Bangalore,Food & Beverages,Byju Raveendran,"South Africa?s Naspers Ventures, the CPP Investment Board",35000000,Seed,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",,,,,,,,,,,,,,,
BlueJack,2018,448000000,2019,320000000,2020,128000000,2021,384000000,2022,576000000,Vadodara,Electric Vehicle,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,64000000,Seed,Delhi-based online used vehicles marketplace.,,,,,,,,,,,,,,,
Pando,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,Gurugram,Supply Chain Management,Amit Modi,Mumbai Angels Network,2000000,Seed,A startup which digitizes logistics operations for Fortune 500 companies.,,,,,,,,,,,,,,,
Mintifi,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,Mumbai,Financial Services,Renato Araujo,Brazilian VC Fund Confrapar,2000000,Seed,Online lending startup based in Mumbai.,,,,,,,,,,,,,,,
Carcrew,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,Mumbai,Marketplace,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",2000000,Seed,India's Online Auto Repair Marketplace,,,,,,,,,,,,,,,
Ideal Insurance Brokers/ 121Policy.com,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Pune,Insurtech,"Gautam Tambay, Parul Gupta",Reach Capital,1000000,Seed,Ideal Insurance Broking is one of the leaders in insurance broking domain.,,,,,,,,,,,,,,,
Mojro Technologies,2018,4550000,2019,3250000,2020,1300000,2021,3900000,2022,5850000,Mumbai,Supply Chain Management,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,650000,Seed,Mojro envisions to be the world's largest technology-enabled logistics platform.,,,,,,,,,,,,,,,
Elemential,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Mumbai,Blockchain,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1000000,Seed,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",,,,,,,,,,,,,,,
Loadshare,2018,35000000,2019,25000000,2020,10000000,2021,30000000,2022,45000000,Bangalore,Supply Chain Management,"Nishant Jain, Rohan Kumar",IVM Intersurer,5000000,Series A,LoadShare is India?s fastest growing logistics company,,,,,,,,,,,,,,,
Yumlane,2018,28000000,2019,20000000,2020,8000000,2021,24000000,2022,36000000,Bangalore,Food & Beverages,Sam Udotong,Canaan Partners,4000000,Series A,Food startup Yumlane operated by QwikPik Technology,,,,,,,,,,,,,,,
Kriger Campus,2018,210000000,2019,150000000,2020,60000000,2021,180000000,2022,270000000,Bangalore,Education,"Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",30000000,Seed,A Education Start Up.,,,,,,,,,,,,,,,
Pipa+Bella,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Bangalore,E-commerce,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",1000000,Series A,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,,,,,,,,,,,,,,,
Kaleidofin,2018,19600000,2019,14000000,2020,5600000,2021,16800000,2022,25200000,Hyderabad,Financial Services,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,2800000,Seed,A fintech platform.,,,,,,,,,,,,,,,
IndigoLearn,2018,1050000,2019,750000,2020,300000,2021,900000,2022,1350000,Bangalore,E-Learning,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,150000,Seed,India's the premier education destination catering to the needs of aspiring students of the CA community.,,,,,,,,,,,,,,,
UClean,2018,280000000,2019,200000000,2020,80000000,2021,240000000,2022,360000000,Pune,Cleantech,"Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",40000000,Seed,UClean is a tech enabled laundry service provider.,,,,,,,,,,,,,,,
Coutloot,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Hyderabad,E-commerce,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",1000000,Seed,The Fashion Re-commerce platform.,,,,,,,,,,,,,,,
Finzy,2018,9100000,2019,6500000,2020,2600000,2021,7800000,2022,11700000,Mumbai,Financial Services,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",1300000,Seed,finzy is the premier peer to peer lending solution in India.,,,,,,,,,,,,,,,
Fitternity,2018,14000000,2019,10000000,2020,4000000,2021,12000000,2022,18000000,New Delhi,Health Care,Swapnil,Scale Venture Partners,2000000,Seed,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,,,,,,,,,,,,,,,
Tolet for Students,2018,35000000,2019,25000000,2020,10000000,2021,30000000,2022,45000000,Mumbai,Hospitality,Rajendra Lora,ThinkLab,5000000,Seed,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",,,,,,,,,,,,,,,
Chai Kings,2018,140000000,2019,100000000,2020,40000000,2021,120000000,2022,180000000,Bangalore,Food & Beverages,,"Sajan Pillai, Muthu Krishnan,",20000000,Seed,Chai Kings is a tea retail chain,,,,,,,,,,,,,,,
Dainik Jagran,2018,280000000,2019,200000000,2020,80000000,2021,240000000,2022,360000000,Bangalore,Media,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",40000000,Seed,Dainik Jagran is a media and communications group.,,,,,,,,,,,,,,,
Playtoome,2018,140000000,2019,100000000,2020,40000000,2021,120000000,2022,180000000,Hyderabad,Advertisement,Akshay Narvekar,Lightbox Ventures,20000000,Seed,Playtoome is a live entertainment destination,,,,,,,,,,,,,,,
ONGO Framework,2018,7000000,2019,5000000,2020,2000000,2021,6000000,2022,9000000,Bangalore,Information Technology,Deepak Anchala,Stellaris Ventures,1000000,Angel,ONGO Framework is a B2B IT and digital solution provider.,,,,,,,,,,,,,,,
Notesgen,2018,87500000,2019,62500000,2020,25000000,2021,75000000,2022,112500000,Pune,Education,"Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",12500000,Seed,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,,,,,,,,,,,,,,,
Arogya MedTech,2018,105000000,2019,75000000,2020,30000000,2021,90000000,2022,135000000,Hyderabad,Health Care,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),15000000,Seed,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,,,,,,,,,,,,,,,
Propshop24,2018,3500000,2019,2500000,2020,1000000,2021,3000000,2022,4500000,Mumbai,E-commerce,"Amit Raj, Anshul Gupta",Trifecta Capital,500000,Seed,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",,,,,,,,,,,,,,,
ZestMoney,2018,93800000,2019,67000000,2020,26800000,2021,80400000,2022,120600000,New Delhi,Fintech,"Manish Taneja, Rahul Dash",Goldman Sachs,13400000,Series A,Zest is India's first completely automated consumer digital lending platform.,,,,,,,,,,,,,,,
MyDentistChoice,2018,3500000,2019,2500000,2020,1000000,2021,3000000,2022,4500000,Mumbai,Health Care,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",500000,Seed,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,,,,,,,,,,,,,,,
MedCords,2018,184800000,2019,132000000,2020,52800000,2021,158400000,2022,237600000,Gurugram,Health Care,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,ØØTriodos Investment Management",26400000,Seed,Medcords is India?s first holistic healthcare ecosystem on a cloud platform that makes health management easier,,,,,,,,,,,,,,,
Ultraviolette Automotive,2018,420000,2019,300000,2020,120000,2021,360000,2022,540000,Mumbai,Electric Vehicle,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,60000,Series A,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,,,,,,,,,,,,,,,
Inthree Access,2018,28000000,2019,20000000,2020,8000000,2021,24000000,2022,36000000,Bangalore,Consulting,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,4000000,Series A,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,,,,,,,,,,,,,,,
BUGWORKS Research India,2018,63000000,2019,45000000,2020,18000000,2021,54000000,2022,81000000,Hyderabad,Pharmacy,Visakh Sasikumar,GAIL (India) Ltd,9000000,Series A,BUGWORKS is a drug discovery company.,,,,,,,,,,,,,,,
PrestLoans,2018,700000,2019,500000,2020,200000,2021,600000,2022,900000,Kolkata,Fintech,Saurav Kumar,"Blume Ventures, Emergent Ventures",100000,Seed,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",,,,,,,,,,,,,,,
Wimoxez,2018,140000,2019,100000,2020,40000,2021,120000,2022,180000,Noida,Internet,Malika Sadani,"Saama Capital, DSG Consumer Partners",20000,Seed,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",,,,,,,,,,,,,,,
