Company/Brand,Year,HQ,Sector,Revenue,Founders,Investor,Amount($),Stage,What it does,Latitude,Longitude
TheCollegeFever,2018,Mumbai,Marketplace,1750000,Shantanu Deshpande,Sixth Sense Ventures,250000,Seed,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",19.0759837,72.8776559
Happy Cow Dairy,2018,New Delhi,AgriTech,280000000,"Adamas Belva Syah Devara, Iman Usman.",General Atlantic,40000000,Seed,A startup which aggregates milk from dairy farmers in rural Maharashtra.,28.6139391,77.2090212
MyLoanCare,2018,Bangalore,Marketplace,455000000,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",65000000,Series A,Leading Online Loans Marketplace in India,12.9715987,77.5945627
PayMe India,2018,Gurugram,Fintech,14000000,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",2000000,Angel,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,28.4594965,77.0266383
Hasura,2018,Pune,SaaS,11200000,Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),1600000,Seed,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",18.5204303,73.8567437
Tripshelf,2018,Bangalore,Marketplace,112000000,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",16000000,Seed,Tripshelf is an online market place for holiday packages.,12.9715987,77.5945627
Hyperdata.IO,2018,Thane,Marketplace,350000000,Renuka Ramnath,Multiples Alternate Asset Management,50000000,Angel,Hyperdata combines advanced machine learning with human intelligence.,19.2183307,72.9780897
Pitstop,2018,Gurgaon,Electric Vehicle,700000000,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,100000000,Seed,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,28.4594965,77.0266383
Mihuru,2018,Mumbai,Financial Services,1050000,D Padmanabhan,Avataar Ventures,150000,Seed,Mihuru is an online platform which gives micro loans for air travel .,19.0759837,72.8776559
Fyle,2018,Bangalore,SaaS,7700000,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,1100000,Seed,Fyle is an intelligent expense management platform for enterprises.,12.9715987,77.5945627
Antariksh Waste Ventures Pvt ltd,2018,Mumbai,Information Technology,3500000,Ishit Jethwa,Titan Capital,500000,Seed,Waste Management for Smart Cities,19.0759837,72.8776559
PaisaDukan,2018,Bangalore,Financial Services,4550000,Rakesh Malhotra,German development finance institution DEG,650000,Seed,A P2P lending marketplace platform,12.9715987,77.5945627
Sleepy Owl Coffee,2018,Bangalore,Food & Beverages,245000000,Byju Raveendran,"South Africa?s Naspers Ventures, the CPP Investment Board",35000000,Seed,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",12.9715987,77.5945627
BlueJack,2018,Vadodara,Electric Vehicle,448000000,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,64000000,Seed,Delhi-based online used vehicles marketplace.,22.3071588,73.1812187
Pando,2018,Gurugram,Supply Chain Management,14000000,Amit Modi,Mumbai Angels Network,2000000,Seed,A startup which digitizes logistics operations for Fortune 500 companies.,28.4594965,77.0266383
Mintifi,2018,Mumbai,Financial Services,14000000,Renato Araujo,Brazilian VC Fund Confrapar,2000000,Seed,Online lending startup based in Mumbai.,19.0759837,72.8776559
Carcrew,2018,Mumbai,Marketplace,14000000,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",2000000,Seed,India's Online Auto Repair Marketplace,19.0759837,72.8776559
Ideal Insurance Brokers/ 121Policy.com,2018,Pune,Insurtech,7000000,"Gautam Tambay, Parul Gupta",Reach Capital,1000000,Seed,Ideal Insurance Broking is one of the leaders in insurance broking domain.,18.5204303,73.8567437
